Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
1914,19,BOS,AL,0.0,5,10,10,1,2,1,0,0,0,0,0,0,4,.200,.200,.300,.500,50,.226,29,3,,0,0,,/1H,
1915,20,BOS,AL,1.7,42,103,92,16,29,10,1,4,20,0,0,9,23,.315,.376,.576,.952,189,.451,179,53,,0,2,,1H,
1916,21,BOS,AL,1.6,67,152,136,18,37,5,3,3,16,0,,10,23,.272,.322,.419,.741,122,.361,119,57,,0,4,,1H,
1917,22,BOS,AL,2.1,52,142,123,14,40,6,3,2,14,0,,12,18,.325,.385,.472,.857,162,.418,165,58,,0,7,,1H,
1918,23,BOS,AL,4.7,95,382,317,50,95,26,11,11,61,6,,58,58,.300,.411,.555,.966,192,.462,192,176,,2,3,,7138/H,
1919,24,BOS,AL,9.1,130,544,432,103,139,34,12,29,113,7,,101,58,.322,.456,.657,1.114,217,.509,217,284,,6,3,,*71/3H8,
1920,25,NYY,AL,11.9,142,617,458,158,172,36,9,54,135,14,14,150,80,.376,.532,.847,1.379,255,.587,248,388,,3,5,,*978/31H,
1921,26,NYY,AL,12.8,152,693,540,177,204,44,16,59,168,17,13,145,81,.378,.512,.846,1.359,239,.571,233,457,,4,4,,*78/13H,
1922,27,NYY,AL,6.4,110,496,406,94,128,24,8,35,96,2,5,84,80,.315,.434,.672,1.106,182,.481,181,273,,1,4,,*79/3,
1923,28,NYY,AL,14.1,152,699,522,151,205,45,13,41,130,17,21,170,93,.393,.545,.764,1.309,239,.565,236,399,,4,3,,*97/83,MVP-1
1924,29,NYY,AL,11.4,153,681,529,143,200,39,7,46,124,9,13,142,81,.378,.513,.739,1.252,220,.535,218,391,,4,6,28,*97/8H,
1925,30,NYY,AL,3.5,98,426,359,61,104,12,2,25,67,2,4,59,68,.290,.393,.543,.936,137,.416,134,195,,2,6,1,97,
1926,31,NYY,AL,11.4,152,652,495,139,184,30,5,47,153,11,9,144,76,.372,.516,.737,1.253,226,.544,227,365,,3,10,13,*79/H3,
1927,32,NYY,AL,12.6,151,691,540,158,192,29,8,60,165,7,5,137,89,.356,.486,.772,1.258,225,.542,221,417,,0,14,3,*97,
1928,33,NYY,AL,10.2,154,684,536,163,173,29,8,54,146,4,5,137,87,.323,.463,.709,1.172,206,.503,204,380,,3,8,8,*97,
1929,34,NYY,AL,8.1,135,588,499,121,172,26,6,46,154,5,3,72,60,.345,.430,.697,1.128,193,.487,193,348,,3,14,5,*97/H,MVP-9
1930,35,NYY,AL,10.3,145,676,518,150,186,28,9,49,153,10,10,136,61,.359,.493,.732,1.225,211,.515,209,379,,1,21,8,*97/1,MVP-10
1931,36,NYY,AL,10.5,145,663,534,149,199,31,3,46,162,5,4,128,51,.373,.495,.700,1.195,218,.521,214,374,,1,0,5,*97/H3,MVP-5
1932,37,NYY,AL,8.5,133,589,457,120,156,13,5,41,137,2,2,130,62,.341,.489,.661,1.150,201,.500,199,302,,2,0,4,*97/H3,MVP-6
1933,38,NYY,AL,6.2,137,576,459,97,138,21,3,34,104,4,5,114,90,.301,.442,.582,1.023,176,.453,174,267,,2,0,3,*97/H13,AS
1934,39,NYY,AL,5.0,125,472,365,78,105,17,4,22,84,1,3,104,63,.288,.448,.537,.985,160,.443,162,196,,2,0,1,*97H,AS
1935,40,BSN,NL,0.1,28,92,72,13,13,0,0,6,12,0,0,20,24,.181,.359,.431,.789,119,.356,121,31,2,0,0,0,7/9H,
,,,,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
22 Yrs,22 Yrs,22 Yrs,22 Yrs,162.2,2503,10628,8399,2174,2873,506,136,714,2214,123,116,2062,1330,.342,.474,.690,1.164,206,.508,204,5793,2,43,114,79,*9718H3,
162 Game Avg,162 Game Avg,162 Game Avg,162 Game Avg,10.5,162,688,544,141,186,33,9,46,143,8,,133,86,.342,.474,.690,1.164,206,.508,204,375,,3,7,,,